"weight"	"Time"	"Chick"	"Diet"	"w_incr"
"73"	41	0	"7"	"1"	NA
"74"	49	2	"7"	"1"	8
"75"	57	4	"7"	"1"	8
"76"	71	6	"7"	"1"	14
"77"	89	8	"7"	"1"	18
"78"	112	10	"7"	"1"	23
"79"	146	12	"7"	"1"	34
"80"	174	14	"7"	"1"	28
"81"	218	16	"7"	"1"	44
"82"	250	18	"7"	"1"	32
"83"	288	20	"7"	"1"	38
"84"	305	21	"7"	"1"	17
"156"	41	0	"14"	"1"	NA
"157"	49	2	"14"	"1"	8
"158"	62	4	"14"	"1"	13
"159"	79	6	"14"	"1"	17
"160"	101	8	"14"	"1"	22
"161"	128	10	"14"	"1"	27
"162"	164	12	"14"	"1"	36
"163"	192	14	"14"	"1"	28
"164"	227	16	"14"	"1"	35
"165"	248	18	"14"	"1"	21
"166"	259	20	"14"	"1"	11
"167"	266	21	"14"	"1"	7
"221"	40	0	"21"	"2"	NA
"222"	50	2	"21"	"2"	10
"223"	62	4	"21"	"2"	12
"224"	86	6	"21"	"2"	24
"225"	125	8	"21"	"2"	39
"226"	163	10	"21"	"2"	38
"227"	217	12	"21"	"2"	54
"228"	240	14	"21"	"2"	23
"229"	275	16	"21"	"2"	35
"230"	307	18	"21"	"2"	32
"231"	318	20	"21"	"2"	11
"232"	331	21	"21"	"2"	13
"269"	40	0	"25"	"2"	NA
"270"	49	2	"25"	"2"	9
"271"	62	4	"25"	"2"	13
"272"	78	6	"25"	"2"	16
"273"	102	8	"25"	"2"	24
"274"	124	10	"25"	"2"	22
"275"	146	12	"25"	"2"	22
"276"	164	14	"25"	"2"	18
"277"	197	16	"25"	"2"	33
"278"	231	18	"25"	"2"	34
"279"	259	20	"25"	"2"	28
"280"	265	21	"25"	"2"	6
"317"	39	0	"29"	"2"	NA
"318"	48	2	"29"	"2"	9
"319"	59	4	"29"	"2"	11
"320"	74	6	"29"	"2"	15
"321"	87	8	"29"	"2"	13
"322"	106	10	"29"	"2"	19
"323"	134	12	"29"	"2"	28
"324"	150	14	"29"	"2"	16
"325"	187	16	"29"	"2"	37
"326"	230	18	"29"	"2"	43
"327"	279	20	"29"	"2"	49
"328"	309	21	"29"	"2"	30
"341"	42	0	"31"	"3"	NA
"342"	53	2	"31"	"3"	11
"343"	62	4	"31"	"3"	9
"344"	73	6	"31"	"3"	11
"345"	85	8	"31"	"3"	12
"346"	102	10	"31"	"3"	17
"347"	123	12	"31"	"3"	21
"348"	138	14	"31"	"3"	15
"349"	170	16	"31"	"3"	32
"350"	204	18	"31"	"3"	34
"351"	235	20	"31"	"3"	31
"352"	256	21	"31"	"3"	21
"353"	41	0	"32"	"3"	NA
"354"	49	2	"32"	"3"	8
"355"	65	4	"32"	"3"	16
"356"	82	6	"32"	"3"	17
"357"	107	8	"32"	"3"	25
"358"	129	10	"32"	"3"	22
"359"	159	12	"32"	"3"	30
"360"	179	14	"32"	"3"	20
"361"	221	16	"32"	"3"	42
"362"	263	18	"32"	"3"	42
"363"	291	20	"32"	"3"	28
"364"	305	21	"32"	"3"	14
"377"	41	0	"34"	"3"	NA
"378"	49	2	"34"	"3"	8
"379"	63	4	"34"	"3"	14
"380"	85	6	"34"	"3"	22
"381"	107	8	"34"	"3"	22
"382"	134	10	"34"	"3"	27
"383"	164	12	"34"	"3"	30
"384"	186	14	"34"	"3"	22
"385"	235	16	"34"	"3"	49
"386"	294	18	"34"	"3"	59
"387"	327	20	"34"	"3"	33
"388"	341	21	"34"	"3"	14
"389"	41	0	"35"	"3"	NA
"390"	53	2	"35"	"3"	12
"391"	64	4	"35"	"3"	11
"392"	87	6	"35"	"3"	23
"393"	123	8	"35"	"3"	36
"394"	158	10	"35"	"3"	35
"395"	201	12	"35"	"3"	43
"396"	238	14	"35"	"3"	37
"397"	287	16	"35"	"3"	49
"398"	332	18	"35"	"3"	45
"399"	361	20	"35"	"3"	29
"400"	373	21	"35"	"3"	12
"425"	41	0	"38"	"3"	NA
"426"	49	2	"38"	"3"	8
"427"	61	4	"38"	"3"	12
"428"	74	6	"38"	"3"	13
"429"	98	8	"38"	"3"	24
"430"	109	10	"38"	"3"	11
"431"	128	12	"38"	"3"	19
"432"	154	14	"38"	"3"	26
"433"	192	16	"38"	"3"	38
"434"	232	18	"38"	"3"	40
"435"	280	20	"38"	"3"	48
"436"	290	21	"38"	"3"	10
"437"	42	0	"39"	"3"	NA
"438"	50	2	"39"	"3"	8
"439"	61	4	"39"	"3"	11
"440"	78	6	"39"	"3"	17
"441"	89	8	"39"	"3"	11
"442"	109	10	"39"	"3"	20
"443"	130	12	"39"	"3"	21
"444"	146	14	"39"	"3"	16
"445"	170	16	"39"	"3"	24
"446"	214	18	"39"	"3"	44
"447"	250	20	"39"	"3"	36
"448"	272	21	"39"	"3"	22
"449"	41	0	"40"	"3"	NA
"450"	55	2	"40"	"3"	14
"451"	66	4	"40"	"3"	11
"452"	79	6	"40"	"3"	13
"453"	101	8	"40"	"3"	22
"454"	120	10	"40"	"3"	19
"455"	154	12	"40"	"3"	34
"456"	182	14	"40"	"3"	28
"457"	215	16	"40"	"3"	33
"458"	262	18	"40"	"3"	47
"459"	295	20	"40"	"3"	33
"460"	321	21	"40"	"3"	26
"473"	42	0	"42"	"4"	NA
"474"	49	2	"42"	"4"	7
"475"	63	4	"42"	"4"	14
"476"	84	6	"42"	"4"	21
"477"	103	8	"42"	"4"	19
"478"	126	10	"42"	"4"	23
"479"	160	12	"42"	"4"	34
"480"	174	14	"42"	"4"	14
"481"	204	16	"42"	"4"	30
"482"	234	18	"42"	"4"	30
"483"	269	20	"42"	"4"	35
"484"	281	21	"42"	"4"	12
"543"	39	0	"48"	"4"	NA
"544"	50	2	"48"	"4"	11
"545"	62	4	"48"	"4"	12
"546"	80	6	"48"	"4"	18
"547"	104	8	"48"	"4"	24
"548"	125	10	"48"	"4"	21
"549"	154	12	"48"	"4"	29
"550"	170	14	"48"	"4"	16
"551"	222	16	"48"	"4"	52
"552"	261	18	"48"	"4"	39
"553"	303	20	"48"	"4"	42
"554"	322	21	"48"	"4"	19
"567"	41	0	"50"	"4"	NA
"568"	54	2	"50"	"4"	13
"569"	67	4	"50"	"4"	13
"570"	84	6	"50"	"4"	17
"571"	105	8	"50"	"4"	21
"572"	122	10	"50"	"4"	17
"573"	155	12	"50"	"4"	33
"574"	175	14	"50"	"4"	20
"575"	205	16	"50"	"4"	30
"576"	234	18	"50"	"4"	29
"577"	264	20	"50"	"4"	30
"578"	264	21	"50"	"4"	0
